"Pattern","Blue","Red","Yellow","Black","White","Orange","Pink","Green","Brown"
"NXOONXOXN","1"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 1"
"OXNXNOXON","0"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 1"
"XONXXNOON","0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 1"
"ONXNNNXNO","0"," 0"," 0"," 2"," 2"," 0"," 0"," 0"," 0"
"NOXOOXNXN","1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"
"XNOXNNOXO","0"," 1"," 0"," 0"," 1"," 1"," 0"," 0"," 0"
"NNNXXOOOX","1"," 3"," 11"," 0"," 0"," 0"," 0"," 0"," 0"
"XXNONXOON","0"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 1"
"ONNNONXNX","0"," 2"," 2"," 5"," 0"," 2"," 0"," 2"," 0"
"NNXXOXNOO","1"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 0"
"NOOXNXONX","1"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"
"ONXOXNNNN","0"," 2"," 0"," 0"," 0"," 2"," 2"," 2"," 2"
"XOXOXONNN","0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"
"NNXXONOOX","1"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 0"
"NXOOOXXNN","1"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 1"
"XONOXOXNN","0"," 0"," 1"," 0"," 0"," 0"," 0"," 1"," 1"
"OXOXONNNX","0"," 0"," 0"," 0"," 0"," 1"," 13"," 1"," 0"
"OOXXOXNNN","0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"
"OONOXXNXN","0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"
"XNNNNONNN","0"," 4"," 4"," 5"," 4"," 0"," 4"," 4"," 4"
"NXXOONNOX","1"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"
"NNNNNNNNN","0"," 0"," 71"," 0"," 357"," 0"," 0"," 114"," 0"
"XNNONNNNN","0"," 5"," 4"," 0"," 5"," 4"," 5"," 5"," 4"
"XOXNNNNNO","0"," 0"," 0"," 2"," 3"," 2"," 2"," 2"," 0"
"NNXONNNXO","2"," 2"," 0"," 0"," 2"," 2"," 2"," 0"," 0"
"NXNNONNNN","0"," 0"," 4"," 0"," 0"," 24"," 0"," 4"," 84"
"XXNNXOOON","0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 1"
"OONXXNNOX","0"," 0"," 1"," 0"," 0"," 1"," 1"," 0"," 0"
"NONXONXXO","1"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"
"XNOONNXOX","0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"
"XXNNNOXOO","0"," 0"," 1"," 1"," 1"," 0"," 0"," 0"," 0"
"NNXNOOOXX","1"," 2"," 0"," 26"," 0"," 0"," 0"," 0"," 0"
"NNOXXOOXN","1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"
"OXXNNOONX","0"," 0"," 0"," 1"," 1"," 0"," 0"," 1"," 0"
"XOOXONNNX","0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 0"
"XNXXONOON","0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1"
"XNONNNXNO","0"," 2"," 0"," 2"," 2"," 2"," 0"," 0"," 0"
"NOOXXONNX","1"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"
